id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price_range,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13209,Private room for one or two,51219881,Michele,Manhattan,Upper East Side,40.77878,-73.95148,Private room,,100,1,2,1/1/2016,0.05,1,0
13210,Cozy Bedroom in heart of WillyBurg,23599716,Derrick,Brooklyn,Williamsburg,40.71901,-73.9594,Private room,,59,3,82,9/2/2018,1.92,2,0
13211,"Luxurious, modern, clean studio apt",6172959,Sanjay,Manhattan,Battery Park City,40.70431,-74.0168,Entire home/apt,,130,1,0,,,1,0
13212,Prime Upper East Side 1Br Apartment,3859737,Yuan,Manhattan,Upper East Side,40.76481,-73.95651,Entire home/apt,,225,3,5,6/25/2019,0.53,1,0
13213,Child friendly 1 Bedroom,51230222,Hamish,Manhattan,Morningside Heights,40.80541,-73.96576,Entire home/apt,,97,1,0,,,1,0
13214,Airy Brooklyn Townhouse,39695769,Avra,Brooklyn,South Slope,40.66719,-73.98957,Entire home/apt,,250,7,0,,,1,0
13215,Large East Village Apartment,28336810,Gabi,Manhattan,East Village,40.72571,-73.98833,Entire home/apt,,150,1,3,3/15/2016,0.07,1,0
13216,"Private BR in nice 4BR, Brooklyn",24332919,Gregoire,Brooklyn,Williamsburg,40.72003,-73.94147,Private room,,63,7,1,1/5/2016,0.02,1,0
13217,Beautiful Private Apt Times Square,31068253,Trish,Manhattan,West Village,40.73342,-74.00615,Entire home/apt,,200,4,10,9/5/2018,0.25,1,0
13218,Location Location!! 1 bed apt,7614268,Ronnie,Manhattan,West Village,40.73299,-74.00444,Entire home/apt,,139,7,0,,,1,0
13219,"2nd Floor, 2 Family House",51248093,Amy,Queens,Ditmars Steinway,40.77623,-73.91503,Entire home/apt,,250,1,0,,,1,0
13220,Comfortable studio in Midtown,3778297,Gabriel,Manhattan,Hell's Kitchen,40.76455,-73.98855,Entire home/apt,,140,5,2,1/1/2017,0.05,1,0
13221,Quintessential New York Apartment,50928025,Tommy,Manhattan,Upper West Side,40.7859,-73.9779,Private room,,95,1,1,12/31/2016,0.03,1,0
13222,Private Bedroom in  Williamsburg!,33876689,Fionn,Brooklyn,Williamsburg,40.70986,-73.95927,Private room,,55,7,1,1/26/2016,0.02,1,0
13223,Big and sunny room!,11095923,Tobias,Brooklyn,Flatbush,40.64722,-73.95987,Private room,,32,10,3,1/2/2016,0.07,3,0
13224,Most Colorful Hamilton Heights Home,4844390,Jade,Manhattan,Harlem,40.82502,-73.95186,Entire home/apt,,110,5,9,10/23/2017,0.22,1,0
13225,QUIET AND COZY ROOM,11069084,Laura,Brooklyn,Flatbush,40.6465,-73.96066,Private room,,30,1,0,,,1,0
13226,Two Bedroom Apartment,46976876,Carolina,Manhattan,East Village,40.72537,-73.99054,Entire home/apt,,250,2,0,,,2,0
13227,Spacious/Beautiful Private Room,51262617,Sandra,Brooklyn,Greenpoint,40.72722,-73.95247,Private room,,100,2,101,7/1/2019,2.75,1,284
13228,"Safe, Convenient, Sunny apartment",4829216,Aria,Brooklyn,Kensington,40.64682,-73.98036,Entire home/apt,,115,1,0,,,1,0
13229,Spacious UES room for your travels!,6608183,Elena,Manhattan,Upper East Side,40.76276,-73.96009,Private room,,90,1,4,5/28/2016,0.09,1,0
13230,Charming Getaway in West Village,15523549,Tanny,Manhattan,West Village,40.73491,-74.00578,Entire home/apt,,139,2,11,6/2/2019,0.27,1,49
13231,"Huge Private Room, great location",8595112,Adrien,Manhattan,Midtown,40.75606,-73.97108,Private room,,150,2,2,2/15/2016,0.05,2,0
13232,Tribeca launchpad!,929983,Franck,Manhattan,Tribeca,40.71854,-74.00439,Private room,,170,5,7,4/29/2019,0.56,1,6
13233,Private bedroom in Tribeca,12573771,Guerin,Manhattan,Tribeca,40.71689,-74.00563,Private room,,75,1,0,,,1,0
13234,"Bright, spacious BR in East Village",5904463,Katherine,Manhattan,East Village,40.72431,-73.98312,Private room,,120,1,1,1/2/2016,0.02,4,0
13235,"Bright, brick BR in East Village",5904463,Katherine,Manhattan,East Village,40.7237,-73.98223,Private room,,80,1,2,1/5/2016,0.05,4,0
13236,"Clean, private bedroom in Bushwick",34010790,Saif,Brooklyn,Bedford-Stuyvesant,40.68808,-73.9206,Private room,,50,1,0,,,1,0
13237,"Private, comfy BR in East Village",5904463,Katherine,Manhattan,East Village,40.72504,-73.98242,Private room,,100,1,0,,,4,0
13238,Sunny Room Downtown Queens NYC,51278789,Grace,Queens,Corona,40.74071,-73.86498,Private room,,36,16,55,5/28/2019,1.43,2,110
13239,Clean condo apartment in TS,6837486,Onusa,Manhattan,Theater District,40.75927,-73.98646,Entire home/apt,,100,1,0,,,1,0
13240,Lincoln Center Luxury Sunny & Modern Br,936114,Marcela,Manhattan,Upper West Side,40.77208,-73.98907,Private room,,129,28,22,6/30/2019,0.52,2,261
13241,Quiet Riverside Park 1 bdrm w gym,51300628,Peter,Manhattan,Upper West Side,40.7939,-73.9761,Entire home/apt,,199,10,0,,,1,0
13242,Garden View Bedroom in Brownstone,310458,Emily,Brooklyn,Park Slope,40.66588,-73.97833,Private room,,60,14,1,4/1/2016,0.03,2,0
13243,Great location next to Times Square,45832664,Monica,Manhattan,Hell's Kitchen,40.76059,-73.99475,Private room,,60,1,2,2/8/2016,0.05,1,0
13244,Lovely Private Browstone Apt,9148721,Aurelie,Brooklyn,Bedford-Stuyvesant,40.68945,-73.94595,Private room,,60,1,2,1/5/2016,0.05,2,0
13245,Cozy Two Room Studio Astoria,404692,Romina,Queens,Astoria,40.76248,-73.91279,Entire home/apt,,99,5,15,6/1/2018,0.43,1,0
13246,"Home in Ditmas Park, Brooklyn!",3694186,R,Brooklyn,Flatbush,40.64295,-73.96137,Entire home/apt,,101,1,2,12/30/2015,0.05,1,0
13247,"Large, Bright, Astoria Room",10702860,Sophia,Queens,Astoria,40.76498,-73.91765,Private room,,55,10,0,,,1,0
13248,Cozy 2 BR Apt in Prime Location!,5445371,Negar,Manhattan,Upper West Side,40.78364,-73.97632,Entire home/apt,,219,2,1,11/7/2016,0.03,1,0
13249,NYC: AMAZING Gramercy Cool Triplex,51327044,Joanne,Manhattan,Gramercy,40.73882,-73.9857,Entire home/apt,,150,7,0,,,1,0
13250,Artist Escape With Private Terrace,4878363,Jessie,Brooklyn,Bedford-Stuyvesant,40.68624,-73.94349,Private room,,25,1,7,8/28/2018,0.19,2,8
13251,Luggage/Shower Depot!!!/US Open/LGA/JFK,21216008,Jose,Queens,Jackson Heights,40.75024,-73.87849,Shared room,,26,1,15,6/22/2019,0.68,4,365
13252,Loft Room in East Williamburg,8013847,Michole,Brooklyn,Williamsburg,40.70852,-73.94387,Private room,,90,2,45,6/25/2019,1.15,2,245
13253,Iconic NY loft apt in West village,2974643,Zoe,Manhattan,West Village,40.73105,-74.00464,Entire home/apt,,500,7,0,,,1,365
13254,1 Bedroom Apt near the Empire State,7367006,Juanjo,Manhattan,Midtown,40.74604,-73.98555,Entire home/apt,,120,1,0,,,1,0
13255,"Spacious room in Manhattan, NYC",51337085,Jan,Manhattan,Harlem,40.83,-73.94299,Private room,,59,1,1,1/6/2016,0.02,1,0
13256,Huge & Beautiful Bedroom - Manhattan,34874378,Jessica,Manhattan,Harlem,40.82362,-73.95063,Private room,,70,1,7,4/4/2018,0.23,2,0
13257,Exposed Brick Midtown East Apt,19131159,Patrick,Manhattan,Midtown,40.75199,-73.97193,Private room,,100,4,0,,,1,0
13258,Williamsburg Large Modern Studio,431884,Morgan,Brooklyn,Williamsburg,40.71532,-73.93951,Entire home/apt,,115,4,38,1/2/2019,0.89,1,0
13259,New and modern  NYC home,47022650,Jillian,Manhattan,East Harlem,40.7933,-73.93424,Entire home/apt,,150,1,48,7/1/2019,1.26,3,321
13260,Room In Williamsburg LOFT,35082637,Ollya,Brooklyn,Williamsburg,40.71841,-73.96389,Private room,,105,5,7,6/20/2019,0.16,2,212
13261,Cozy Bedford Garden Bedroom,51348096,Stanley,Brooklyn,Flatbush,40.65134,-73.958,Private room,,65,1,0,,,1,0
13262,Spacious Private Brownstone Apt | 2 Bedroom,12877954,Brian,Brooklyn,Bedford-Stuyvesant,40.68076,-73.93996,Entire home/apt,,113,3,174,7/1/2019,4.02,1,63
13263,Private Room Avail in 3BR LES Apt,51349952,Lauren,Manhattan,Lower East Side,40.71858,-73.98613,Private room,,70,1,1,1/2/2016,0.02,1,0
13264,Sunny St. Mark's Place Oasis,16222762,Kevin,Manhattan,East Village,40.72788,-73.98436,Entire home/apt,,199,1,14,8/23/2016,0.33,1,0
13265,Huge beautiful place - Williamsburg,2703735,Carlos,Brooklyn,Williamsburg,40.71638,-73.96357,Entire home/apt,,125,3,2,4/22/2016,0.05,1,0
13266,"Romantic, Pretty Apt with Kitty",9212402,Alden,Brooklyn,Williamsburg,40.70973,-73.95301,Entire home/apt,,140,4,12,11/5/2017,0.29,1,0
13267,Friendly place with garden,50865592,Christophe,Brooklyn,Park Slope,40.6735,-73.97644,Private room,,85,1,133,6/20/2019,3.23,1,230
13268,BEDROOM3 FOR RENT  10min from Manh,311286,Helene,Brooklyn,Bedford-Stuyvesant,40.67955,-73.94839,Private room,,70,30,1,7/1/2018,0.08,4,249
13269,Morningside Heights Apartment,51356178,Andres,Manhattan,Morningside Heights,40.8046,-73.9654,Entire home/apt,,89,1,3,7/29/2016,0.07,1,0
13270,Private Rm&Bthrm - 10 min Manhattan,19109608,Elle,Queens,Astoria,40.76273,-73.91642,Private room,,95,2,55,6/22/2019,1.28,3,244
13271,Sunny and cozy Astoria room!,50695071,Noran,Queens,Ditmars Steinway,40.7756,-73.90825,Private room,,70,1,0,,,1,0
13272,Cozy 1BR apt in East Village/USQ,51358854,Manny,Manhattan,East Village,40.73048,-73.98197,Entire home/apt,,154,5,0,,,1,0
13273,Entire 2br apartment in the heart of Chelsea,23863809,Arthur,Manhattan,Chelsea,40.73927,-73.99833,Entire home/apt,,220,1,8,8/29/2016,0.19,2,0
13274,"Spacious, Cozy Bedroom in Bushwick",5123299,Ian,Brooklyn,Bushwick,40.70352,-73.93104,Private room,,45,1,4,1/1/2018,0.09,1,0
13275,Quiet 2B duplex in Nolita / Soho,8302904,Anthony,Manhattan,Nolita,40.72336,-73.99618,Private room,,59,60,6,11/26/2016,0.15,1,0
13276,A bedroom in Chinatown,22735666,Simon,Manhattan,Chinatown,40.71346,-73.99592,Private room,,95,1,1,1/2/2016,0.02,1,0
13277,Spacious Master Bedroom in EV,32993860,Zach,Manhattan,East Village,40.72658,-73.97827,Private room,,129,1,0,,,1,0
13278,Beautiful Modern Large 1 Bedroom,36865981,Samantha,Brooklyn,Crown Heights,40.67665,-73.95534,Entire home/apt,,115,3,1,1/1/2017,0.03,1,0
13279,Large Hell's Kitchen Home,51364562,Michael,Manhattan,Hell's Kitchen,40.76019,-73.99299,Private room,,105,3,4,5/29/2018,0.09,1,0
13280,Sunny Modern Beauty with Deck,9108035,Ashley,Brooklyn,Bedford-Stuyvesant,40.68636,-73.93104,Entire home/apt,,93,4,5,7/28/2017,0.12,1,0
13281,Upper West Room Near Columbia U,36279810,Lingzi,Manhattan,Upper West Side,40.80085,-73.96468,Private room,,40,6,5,2/1/2017,0.12,1,0
13282,"BEAUTIFUL, LARGE, BRIGHT 2 Bedroom",51367478,Brandon,Queens,Long Island City,40.76406,-73.9349,Private room,,88,5,0,,,1,0
13283,Artistic! Sunny! 1BR Brownstone Apt,2880824,Stephanie,Brooklyn,Bedford-Stuyvesant,40.68357,-73.93176,Entire home/apt,,85,1,1,1/3/2016,0.02,1,0
13284,Cozy two bedroom apartment,51368588,Paula,Manhattan,Upper East Side,40.76438,-73.95871,Entire home/apt,,170,3,35,4/25/2019,0.82,2,0
13285,1 bd available in 3bd apt in UWS,51371360,Minoo,Manhattan,Upper West Side,40.78347,-73.97748,Private room,,75,2,2,11/26/2016,0.05,1,0
13286,Spacious Large Private Room By Pr.  Park w Aircon,51372003,Ninell,Brooklyn,Flatbush,40.64881,-73.96724,Private room,,55,2,5,8/13/2017,0.12,2,213
13287,Charming and CLEAN Room!!,51374331,Daniel,Brooklyn,Bedford-Stuyvesant,40.68512,-73.93893,Private room,,57,2,175,6/28/2019,4.08,1,38
13288,1 Bedroom in UWS Manhattan,6891770,Mido,Manhattan,Upper West Side,40.78239,-73.97581,Entire home/apt,,199,2,10,4/18/2017,0.25,1,0
13289,One Bedroom Apartment In Astoria,27078779,Emmanuel,Queens,Astoria,40.76047,-73.92288,Entire home/apt,,105,1,0,,,1,0
13290,The authentic TriBeCa artist loft experience!,5885714,Micheal,Manhattan,Tribeca,40.71742,-74.00396,Entire home/apt,,485,3,14,1/1/2019,0.36,1,54
13291,Classic NYC loft apt in brownstone,3841035,Christina,Manhattan,Harlem,40.83034,-73.94902,Entire home/apt,,125,2,31,6/12/2019,0.72,1,14
13292,YOUR HOME FOR THE HOLIDAY,4409832,Chris,Manhattan,Washington Heights,40.85139,-73.93722,Entire home/apt,,150,6,0,,,1,0
13293,1 BR available in Midtown,4513827,Salman,Manhattan,Murray Hill,40.74622,-73.97913,Private room,,95,14,19,5/6/2019,0.52,1,96
13294,CORPORATE RENTAL ON HISTORIC BLOCK!,43014167,Mark,Manhattan,Washington Heights,40.83403,-73.93867,Entire home/apt,,200,1,1,5/20/2016,0.03,1,0
13295,Modern 1 bedroom 5min Cental Park,49903913,Lily,Manhattan,Upper West Side,40.7993,-73.96642,Entire home/apt,,90,1,171,6/10/2019,3.98,1,53
13296,Charming and bright UWS apartment,8936313,Maurad & Maria,Manhattan,Upper West Side,40.78146,-73.97845,Entire home/apt,,120,5,0,,,1,0
13297,"Clean, renovated 1 bedroom apt close to 1 train",22257525,Andrea,Manhattan,Harlem,40.82501,-73.95125,Entire home/apt,,100,3,1,8/19/2016,0.03,1,0
13298,"Beautiful quiet apartment, Bushwick",24190730,Lara,Brooklyn,Bushwick,40.68353,-73.90484,Private room,,70,1,21,9/26/2016,0.5,1,0
13299,Madison Avenue Studio Suite (2),50760546,CRNY Monthly Rentals,Manhattan,Murray Hill,40.74963,-73.98098,Entire home/apt,,110,30,5,9/4/2018,0.16,31,157
13300,"Entire 2 bedroom in Williamsburg, Brooklyn!",51422606,Kensey,Brooklyn,Williamsburg,40.71237,-73.93929,Entire home/apt,,96,2,17,1/2/2019,0.4,1,0
13301,Large Sunny Room/ East Williamsburg,51422338,Kelly,Brooklyn,Williamsburg,40.71993,-73.94479,Private room,,50,1,0,,,1,0
13302,Cute and Sunny 2 BR Wburg Apt,14910665,Rebeka,Brooklyn,Williamsburg,40.71273,-73.95749,Entire home/apt,,175,1,3,3/20/2016,0.07,1,0
13303,Affordable Room in Trendy LES/Soho,6570788,Natalie,Manhattan,Lower East Side,40.72173,-73.99351,Private room,,70,3,1,1/19/2016,0.02,1,0
13304,Beautiful Garden Rooms In Lower East Side,20222376,Olya,Manhattan,Lower East Side,40.71814,-73.99166,Private room,,75,10,17,6/19/2019,0.46,1,128
13305,Super cozy room,51430742,Jan,Bronx,Morris Heights,40.85292,-73.91683,Private room,,51,2,36,5/8/2019,0.96,1,364
13306,"1BR-near to park, subway, cafes!",51433399,Meghan,Brooklyn,Prospect-Lefferts Gardens,40.65871,-73.96101,Entire home/apt,,80,1,1,1/5/2016,0.02,1,0
13307,Madison Avenue 1 Bedroom Suite,50760546,CRNY Monthly Rentals,Manhattan,Midtown,40.75093,-73.98096,Entire home/apt,,110,30,1,9/30/2016,0.03,31,133
13308,Beautiful sunny bedroom Upper West,5041830,Edna,Manhattan,Upper West Side,40.80137,-73.9615,Private room,,80,3,1,7/6/2016,0.03,1,0
13309,Bedroom in Williamsburg Available!,51434460,DJ Timothy,Brooklyn,Williamsburg,40.70998,-73.95956,Private room,,60,1,0,,,1,0
13310,Madison Avenue 3 Bedroom Loft,50760546,CRNY Monthly Rentals,Manhattan,Murray Hill,40.74908,-73.98095,Entire home/apt,,170,30,1,8/13/2016,0.03,31,142
13311,Grand Madison Avenue Loft,50760546,CRNY Monthly Rentals,Manhattan,Midtown,40.75065,-73.98204,Entire home/apt,,155,29,0,,,31,327
13312,Cozy Orchard St. Bedroom in the Lower East Side,16664377,D,Manhattan,Lower East Side,40.71835,-73.99138,Private room,,65,1,178,7/4/2019,4.16,3,79
13313,Madison Avenue 3 Room Loft,50760546,CRNY Monthly Rentals,Manhattan,Midtown,40.74906,-73.98276,Entire home/apt,,165,29,3,3/1/2017,0.09,31,134
13314,Murray Hill 1 Bedroom Apartment (62),50760546,CRNY Monthly Rentals,Manhattan,Murray Hill,40.74711,-73.97694,Entire home/apt,,115,30,5,3/17/2019,0.14,31,179
13315,Murray Hill 2 Bedroom Apartment (63),50760546,CRNY Monthly Rentals,Manhattan,Murray Hill,40.74537,-73.97652,Entire home/apt,,150,30,1,5/19/2018,0.07,31,125
13316,"Nice and Quiet, lots of trees.",45483124,Maria,Queens,East Elmhurst,40.75836,-73.87631,Private room,,700,1,1,1/3/2016,0.02,1,97
13317,Classic Murray Hill 1 Bedroom Apartment (64),50760546,CRNY Monthly Rentals,Manhattan,Murray Hill,40.74677,-73.97846,Entire home/apt,,125,30,4,12/16/2017,0.11,31,111
13318,Cozy Room for Rent in Williamsburg!,51439873,Nina,Brooklyn,Williamsburg,40.71557,-73.94004,Private room,,75,1,0,,,1,0
13319,Murray Hill 2 Bedroom Suite,50760546,CRNY Monthly Rentals,Manhattan,Murray Hill,40.74676,-73.97682,Entire home/apt,,150,30,3,3/30/2019,0.1,31,107
13320,Pre-War Charm with Modern Chic in Hell's Kitchen,36638599,Chelsea,Manhattan,Hell's Kitchen,40.76316,-73.9884,Private room,,170,1,112,7/10/2017,2.63,1,0
13321,Murray Hill 2 Bedroom Townhouse,50760546,CRNY Monthly Rentals,Manhattan,Kips Bay,40.74495,-73.97627,Entire home/apt,,150,30,4,8/4/2018,0.11,31,156
13322,Murray Hill 2 Bedroom Classic (84),50760546,CRNY Monthly Rentals,Manhattan,Murray Hill,40.74672,-73.97841,Entire home/apt,,150,30,4,11/2/2018,0.12,31,128
13323,Sound Bath Sanctuary II Manhattan,7217937,Joule,Manhattan,Inwood,40.8686,-73.92594,Private room,,45,2,6,6/17/2019,0.5,2,64
13324,Cozy East Village Apartment,13507716,Regina,Manhattan,East Village,40.72324,-73.98195,Entire home/apt,,55,1,0,,,1,0
13325,Private room in gorgeous 2 floor Williamsburg apt,1909320,Peter,Brooklyn,Williamsburg,40.7167,-73.96327,Private room,,89,1,96,6/23/2019,2.24,3,237
13326,Open Room in Luxury Apartment,27952234,Brett,Manhattan,Financial District,40.70623,-74.00906,Private room,,100,1,0,,,1,0
13327,Budget room in Downtown Brooklyn,48487386,Kazuhiro,Brooklyn,Gowanus,40.6824,-73.98824,Private room,,35,2,112,6/20/2019,2.7,1,27
13328,BROOKLYN 1 BEDROOM,50368837,Jorge,Brooklyn,Crown Heights,40.6781,-73.94584,Entire home/apt,,70,3,2,8/8/2016,0.05,2,88
13329,Comfy Spacious room/Lower Manhattan - East Side,44216429,Maria,Manhattan,Gramercy,40.73628,-73.98549,Private room,,100,4,115,7/7/2019,2.67,1,268
13330,Your home in the historic district,48818023,Sarah,Manhattan,Harlem,40.82909,-73.94183,Entire home/apt,,78,5,0,,,1,0
13331,Glam Hipster Digs,51095356,Tamu,Brooklyn,Bushwick,40.69966,-73.93241,Private room,,59,2,41,10/29/2018,0.96,1,301
13332,Charming West Village Apartment,51450214,Danny,Manhattan,West Village,40.73004,-74.00381,Entire home/apt,,148,1,0,,,1,0
13333,Large and light Brooklyn apartment,564585,Mark,Brooklyn,Clinton Hill,40.68731,-73.96446,Entire home/apt,,125,6,0,,,1,0
13334,Architects' Home in Brooklyn!,12227689,Jen,Brooklyn,Crown Heights,40.67694,-73.95575,Entire home/apt,,155,2,24,1/2/2018,0.57,1,0
13335,Comfy Private Room in Williamsburg,48446355,Alexandra,Brooklyn,Williamsburg,40.71074,-73.95145,Private room,,61,1,1,1/2/2016,0.02,1,0
13336,Spacious Room -- Upper West Side,44118283,Guillaume,Manhattan,Upper West Side,40.79546,-73.97497,Private room,,100,15,1,2/15/2016,0.02,1,0
13337,Experience the Diversity of Queens!,51458776,Frankie,Queens,Jackson Heights,40.75161,-73.88315,Private room,,55,2,42,6/19/2019,1.04,1,118
13338,Private Room in Bushwick,11275734,Josh,Brooklyn,Bushwick,40.69791,-73.93615,Private room,,40,14,1,1/31/2016,0.02,1,0
13339,2 BR in Soho/Greenwich Village,7655328,Jessica,Manhattan,Greenwich Village,40.72799,-74.00046,Entire home/apt,,196,1,0,,,3,0
13340,Modern & Upgraded in Midtown,10770088,Tim,Manhattan,Midtown,40.75221,-73.97157,Entire home/apt,,101,2,1,12/28/2015,0.02,1,0
13341,Huge room in 4 BR on Riverside,50539477,Brian,Manhattan,Harlem,40.82203,-73.95612,Private room,,50,30,77,6/2/2019,3.26,2,190
13342,"A clean, spacious studio apartment",4628519,Hana,Manhattan,Upper West Side,40.79072,-73.97252,Entire home/apt,,150,3,0,,,1,0
13343,"Chic and Spacious 1BD, minutes from Times Sq!",13056751,Eleni,Manhattan,Hell's Kitchen,40.76458,-73.99007,Private room,,102,1,49,6/24/2019,1.7,1,134
13344,"Sunny, Light room with Loft Bed",7581707,Brianna,Brooklyn,Bedford-Stuyvesant,40.69425,-73.95081,Private room,,30,1,0,,,1,0
13345,NYC Lower East Side - New Years,51496578,Aline,Manhattan,Lower East Side,40.71504,-73.98072,Entire home/apt,,250,1,0,,,1,0
13346,Artist Studio in Central Manhattan!,38204730,Kathy,Manhattan,Gramercy,40.73652,-73.98458,Private room,,115,4,0,,,3,249
13347,GREAT location LARGE 1BR $129 night,21801127,Carlos,Manhattan,Upper East Side,40.77668,-73.94819,Entire home/apt,,129,3,0,,,1,0
13348,Spacious Sunny room in East Village,51499758,Sabra,Manhattan,Lower East Side,40.71686,-73.98346,Private room,,90,4,0,,,1,0
13349,Nice 1 Bedroom Apartment China town,46540057,Fabrizio,Manhattan,Chinatown,40.71474,-73.99778,Entire home/apt,,120,5,15,12/18/2017,0.61,1,0
13350,Great studio near TIME SQUARE,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.76262,-73.99283,Entire home/apt,,150,30,3,5/24/2019,0.08,31,210
13351,Beautiful Updated Midtown Apartment,8343891,Shauna,Manhattan,Upper East Side,40.76501,-73.95862,Entire home/apt,,146,1,0,,,1,0
13352,Charming bedroom in Manhattan,20884486,Luis,Manhattan,Morningside Heights,40.80483,-73.96486,Private room,,70,1,0,,,1,0
13353,Soho Old School,51504193,Hans,Manhattan,SoHo,40.72515,-73.99919,Entire home/apt,,115,28,12,12/21/2018,0.31,1,77
13354,Private Room on Upper West Side,2830735,Joshua,Manhattan,Upper West Side,40.80195,-73.96714,Private room,,49,5,1,12/22/2015,0.02,1,0
13355,Cozy and Chic UES Studio,39945901,Mercy,Manhattan,East Harlem,40.78866,-73.94941,Entire home/apt,,200,3,28,6/3/2019,0.65,1,3
13356,NICE 2 BED APT NEAR TIME SQUARE,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.76244,-73.99295,Entire home/apt,,166,30,7,1/3/2019,0.18,31,195
13357,Cute Bedroom in Very Cute BK Apt!,7763913,Dawn,Brooklyn,Williamsburg,40.71049,-73.94515,Private room,,40,1,1,1/7/2016,0.02,1,0
13358,Unique Studio Loft in Brooklyn,47554473,Henry Norman,Brooklyn,Greenpoint,40.72913,-73.9436,Private room,,137,3,39,5/6/2019,0.91,13,53
13359,Spacious and sunny bedroom,1653404,Erica,Brooklyn,Williamsburg,40.70872,-73.95689,Private room,,58,5,1,12/18/2015,0.02,1,0
13360,My Artsy Haven in Bed Stuy,10970798,Atiya,Brooklyn,Bedford-Stuyvesant,40.68851,-73.95599,Private room,,55,14,0,,,1,0
13361,"Fun, Cute, Sunny Bushwick Room",51513260,Morgan,Brooklyn,Bushwick,40.70136,-73.91857,Private room,,35,6,1,2/25/2016,0.02,1,0
13362,Spacious 1 bed near TIME SQUARE,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.76343,-73.99381,Entire home/apt,,150,30,1,6/14/2016,0.03,31,339
13363,Upper East Side 1 Bedroom,28640162,Jordan,Manhattan,Upper East Side,40.78352,-73.94973,Entire home/apt,,150,3,0,,,1,0
13364,Upper West ... Museums/Parks/Subway,51513795,Doug,Manhattan,Upper West Side,40.77845,-73.97985,Entire home/apt,,175,2,1,1/3/2016,0.02,1,0
13365,Deluxe Loft Suite in Greenpoint,47554473,Henry Norman,Brooklyn,Greenpoint,40.72762,-73.94443,Entire home/apt,,189,3,26,6/24/2019,0.61,13,69
13366,Sunny room in a great new Apt,51517754,Max,Brooklyn,Bedford-Stuyvesant,40.69676,-73.93705,Private room,,42,10,0,,,1,0
13367,Best of Brooklyn,51502398,Sasha,Brooklyn,Crown Heights,40.6698,-73.94992,Entire home/apt,,175,3,77,6/17/2019,1.8,1,54
13368,Room With a View!,50520440,Jessica,Manhattan,Battery Park City,40.71777,-74.01493,Private room,,150,4,1,1/3/2016,0.02,1,0
13369,Modern Luxury Chelsea Apt w/ Large Sunny Patios,35890377,Carrie,Manhattan,Chelsea,40.74135,-73.99507,Entire home/apt,,425,2,59,6/27/2019,1.38,1,39
13370,"Huge, Sunny Loft for Rent",583269,Kenzo,Brooklyn,Bedford-Stuyvesant,40.69998,-73.9413,Private room,,110,1,0,,,1,0
13371,Small but warm and cozy. (^_^) Female Only Please.,51520983,Jeannette,Manhattan,East Harlem,40.80681,-73.93956,Private room,,75,3,4,10/19/2016,0.09,1,0
13372,Spacious 1BD In Chelsea,24225915,Jason,Manhattan,Chelsea,40.74845,-73.99635,Entire home/apt,,170,4,1,2/24/2016,0.02,1,0
13373,1bdroom Kid Friendly Quiet Street,51525788,Whitney,Manhattan,Inwood,40.86569,-73.92865,Entire home/apt,,120,1,1,1/2/2016,0.02,1,0
13374,Room in beautiful plant filled Greenpoint loft,1558222,Nikki,Brooklyn,Greenpoint,40.72809,-73.94365,Private room,,65,3,2,9/18/2016,0.06,3,0
13375,Brooklyn Deluxe Loft Suite,47554473,Henry Norman,Brooklyn,Greenpoint,40.72917,-73.94354,Entire home/apt,,350,3,1,9/14/2017,0.05,13,74
13376,Beautiful Loft Suite in Greenpoint,47554473,Henry Norman,Brooklyn,Greenpoint,40.72717,-73.94479,Entire home/apt,,199,3,26,6/25/2019,0.61,13,74
13377,Room for Xmas and New Years in NYC,19049309,Willem,Manhattan,East Harlem,40.79586,-73.94332,Private room,,67,1,1,1/2/2016,0.02,1,0
13378,Studio Loft in Brooklyn,47554473,Henry Norman,Brooklyn,Greenpoint,40.72734,-73.94451,Entire home/apt,,189,3,7,5/7/2019,0.21,13,74
13379,Master Bedroom & Private Office,16260491,Gregory,Manhattan,East Village,40.72627,-73.9802,Private room,,80,5,0,,,1,0
13380,Newly renovated room/ 10min LGA #1,51531044,Angela,Queens,Jackson Heights,40.75164,-73.87644,Private room,,50,1,84,6/16/2019,2.1,4,302
13381,"Apartment for 5, Midtown Manhattan",48681257,Celia,Manhattan,Midtown,40.75828,-73.96286,Entire home/apt,,220,1,116,6/23/2019,2.89,1,264
13382,1 room in 3BR/1B in East Village,41316877,R David,Manhattan,East Village,40.72434,-73.98447,Private room,,79,3,0,,,1,0
13383,"JFK,LGA,Manhattan,TimeSq,privateBathroom,Queens",36577517,Nan,Queens,Elmhurst,40.74556,-73.88118,Private room,,49,2,1,3/11/2016,0.02,2,83
13384,Harlem Hearth - Loft Living on a Grand Scale,7727013,Toby Steven,Manhattan,Harlem,40.81184,-73.94287,Entire home/apt,,226,3,61,6/22/2019,2.57,2,276
13385,Loft @ Heart of Williamsburg,19912320,Charles,Brooklyn,Williamsburg,40.71686,-73.95428,Private room,,79,5,3,1/2/2017,0.07,2,0
